X,Y,Z,throttle,brake,steer,speed,position,lap_time
232.16,-12.09,-323.57,1.0,0.0,-1.09,168.03,0.0,0.0
230.95,-12.09,-323.92,1.0,0.0,2.14,168.13,0.001,0.0
228.66,-12.09,-324.59,1.0,0.0,2.14,168.34,0.002,42.0
226.5,-12.08,-325.22,1.0,0.0,2.12,168.55,0.003,90.0
224.21,-12.07,-325.89,1.0,0.0,-1.21,168.77,0.004,141.0
222.04,-12.06,-326.52,1.0,0.0,-1.29,168.95,0.005,189.0
219.75,-12.05,-327.19,1.0,0.0,-1.33,169.14,0.006,240.0
217.58,-12.04,-327.82,0.0,0.0,-1.41,169.3,0.007,288.0
215.55,-12.03,-328.41,0.0,0.0,-1.36,169.19,0.008,333.0
213.25,-12.02,-329.09,0.0,0.0,-1.42,169.05,0.009,384.0
211.09,-12.01,-329.72,0.0,0.0,1.76,168.93,0.01,432.0
208.79,-11.99,-330.39,0.0,0.0,1.69,168.79,0.011,483.0
206.63,-11.98,-331.02,0.0,0.0,1.74,168.66,0.012,531.0
204.34,-11.96,-331.69,1.0,0.0,1.52,168.36,0.013,582.0
201.92,-11.94,-332.4,1.0,0.0,-1.89,168.43,0.014,636.0
199.89,-11.93,-332.99,1.0,0.0,-1.98,168.57,0.015,681.0
196.25,-11.89,-334.05,1.0,0.0,-2.08,168.83,0.016,762.0
195.44,-11.88,-334.29,1.0,0.0,-2.23,168.89,0.017,780.0
193.01,-11.86,-335.01,1.0,0.0,1.01,169.07,0.018,834.0
190.98,-11.83,-335.6,1.0,0.0,0.88,169.22,0.019,879.0
188.54,-11.8,-336.32,1.0,0.0,0.81,169.39,0.02,933.0
186.51,-11.78,-336.91,1.0,0.0,0.6,169.53,0.021,978.0
184.34,-11.75,-337.55,1.0,0.0,0.5,169.69,0.022,1026.0
182.03,-11.71,-338.22,1.0,0.0,0.39,169.84,0.023,1077.0
179.58,-11.67,-338.94,1.0,0.0,0.08,170.02,0.024,1131.0
177.54,-11.64,-339.54,1.0,0.0,-0.07,170.15,0.025,1176.0
175.5,-11.6,-340.14,1.0,0.0,-0.24,170.28,0.026,1221.0
173.05,-11.56,-340.86,1.0,0.0,-0.41,170.45,0.027,1275.0
171.0,-11.53,-341.46,1.0,0.0,-0.61,170.58,0.028,1320.0
168.82,-11.49,-342.1,1.0,0.0,-0.88,170.72,0.029,1368.0
166.5,-11.45,-342.78,1.0,0.0,-1.15,170.88,0.03,1419.0
164.31,-11.41,-343.42,1.0,0.0,-1.45,171.02,0.031,1467.0
161.85,-11.36,-344.14,1.0,0.0,-1.77,171.18,0.032,1521.0
159.8,-11.32,-344.75,1.0,0.0,-1.93,171.32,0.033,1566.0
157.75,-11.28,-345.35,1.0,0.0,-2.28,171.44,0.034,1611.0
155.42,-11.22,-346.04,1.0,0.0,-2.52,171.59,0.035,1662.0
152.95,-11.16,-346.78,1.0,0.0,-2.76,171.73,0.036,1716.0
150.76,-11.11,-347.43,1.0,0.0,-2.93,171.85,0.037,1764.0
148.7,-11.05,-348.05,1.0,0.0,-3.22,171.97,0.038,1809.0
146.64,-11.0,-348.67,1.0,0.0,-0.01,172.08,0.039,1854.0
144.31,-10.94,-349.37,1.0,0.0,-0.08,172.22,0.04,1905.0
142.11,-10.87,-350.04,1.0,0.0,-0.27,172.34,0.041,1953.0
139.78,-10.8,-350.75,1.0,0.0,-0.34,172.47,0.042,2004.0
137.72,-10.74,-351.38,1.0,0.0,-0.51,172.57,0.043,2049.0
135.52,-10.67,-352.06,1.0,0.0,-0.6,172.69,0.044,2097.0
133.18,-10.6,-352.78,1.0,0.0,-0.5,172.82,0.045,2148.0
131.12,-10.53,-353.42,1.0,0.0,-0.59,172.91,0.046,2193.0
128.64,-10.45,-354.18,1.0,0.0,-0.64,173.06,0.047,2247.0
126.57,-10.38,-354.83,1.0,0.0,-0.64,173.16,0.048,2292.0
124.51,-10.31,-355.47,1.0,0.0,-0.73,173.27,0.049,2337.0
122.3,-10.24,-356.16,1.0,0.0,-0.68,173.38,0.05,2385.0
119.96,-10.16,-356.89,1.0,0.0,2.62,173.51,0.051,2436.0
117.75,-10.09,-357.58,1.0,0.0,2.51,173.62,0.052,2484.0
115.4,-10.0,-358.32,1.0,0.0,-0.76,173.76,0.053,2535.0
113.33,-9.92,-358.96,1.0,0.0,-0.88,173.86,0.054,2580.0
111.12,-9.84,-359.66,1.0,0.0,-0.94,173.96,0.055,2628.0
109.04,-9.75,-360.31,1.0,0.0,-1.06,174.06,0.056,2673.0
106.55,-9.65,-361.09,1.0,0.0,-1.31,174.17,0.057,2727.0
104.48,-9.57,-361.74,1.0,0.0,-1.29,174.27,0.058,2772.0
102.4,-9.48,-362.39,1.0,0.0,-1.49,174.38,0.059,2817.0
100.04,-9.38,-363.13,1.0,0.0,1.56,174.47,0.06,2868.0
97.96,-9.28,-363.79,1.0,0.0,1.53,174.57,0.061,2913.0
95.47,-9.17,-364.57,1.0,0.0,1.26,174.69,0.062,2967.0
93.38,-9.07,-365.22,1.0,0.0,1.12,174.75,0.063,3012.0
91.3,-8.97,-365.87,1.0,0.0,-2.25,174.86,0.064,3057.0
88.8,-8.85,-366.66,1.0,0.0,-2.56,174.95,0.065,3111.0
86.72,-8.75,-367.32,1.0,0.0,-2.62,175.02,0.066,3156.0
84.64,-8.64,-367.97,1.0,0.0,0.44,175.08,0.067,3201.0
82.27,-8.52,-368.72,1.0,0.0,0.37,175.22,0.068,3252.0
80.04,-8.4,-369.42,1.0,0.0,0.2,175.28,0.069,3300.0
78.09,-8.3,-370.03,1.0,0.0,0.03,175.36,0.07,3342.0
75.87,-8.17,-370.75,1.0,0.0,0.65,175.42,0.071,3390.0
73.5,-8.04,-371.5,1.0,0.0,0.18,175.51,0.072,3441.0
71.27,-7.91,-372.2,1.0,0.0,0.12,175.6,0.073,3489.0
69.19,-7.78,-372.87,1.0,0.0,0.06,175.66,0.074,3534.0
66.82,-7.64,-373.62,1.0,0.0,-0.03,175.74,0.075,3585.0
64.59,-7.51,-374.33,1.0,0.0,0.22,175.79,0.076,3633.0
62.63,-7.39,-374.95,1.0,0.0,0.3,175.85,0.077,3675.0
60.12,-7.23,-375.74,1.0,0.0,0.41,175.9,0.078,3729.0
58.03,-7.1,-376.41,1.0,0.0,0.28,175.95,0.079,3774.0
55.93,-6.97,-377.07,0.59,0.0,0.65,175.97,0.08,3819.0
53.84,-6.82,-377.74,0.11,0.0,0.9,175.89,0.081,3864.0
51.33,-6.66,-378.53,0.0,0.26,0.98,175.25,0.082,3918.0
49.26,-6.51,-379.19,0.0,0.71,1.5,174.05,0.083,3963.0
47.22,-6.39,-379.83,0.0,0.78,1.52,172.45,0.084,4008.0
45.02,-6.22,-380.53,0.0,0.64,1.88,170.61,0.085,4056.0
42.73,-6.08,-381.25,0.0,0.87,2.19,168.41,0.086,4107.0
40.61,-5.92,-381.92,0.0,0.75,2.66,166.51,0.087,4155.0
38.39,-5.75,-382.63,0.0,0.69,2.9,164.28,0.088,4206.0
36.05,-5.59,-383.36,0.0,0.75,3.37,162.14,0.089,4260.0
33.27,-5.4,-384.22,0.0,0.8,0.5,159.4,0.09,4326.0
31.74,-5.3,-384.7,0.0,0.63,0.71,157.97,0.091,4362.0
29.5,-5.13,-385.4,0.0,0.81,1.55,155.93,0.092,4416.0
27.29,-4.97,-386.09,0.0,0.72,1.98,153.61,0.093,4470.0
25.11,-4.8,-386.77,0.0,0.63,2.57,151.43,0.094,4524.0
22.96,-4.63,-387.43,0.0,0.85,3.29,149.29,0.095,4578.0
20.6,-4.45,-388.15,0.0,0.65,3.87,146.81,0.096,4638.0
18.52,-4.28,-388.79,0.0,0.87,1.14,144.55,0.097,4692.0
16.13,-4.1,-389.52,0.0,0.8,1.76,142.03,0.098,4755.0
14.11,-3.94,-390.13,0.0,0.69,2.46,139.83,0.099,4809.0
11.68,-3.75,-390.86,0.0,0.87,3.56,137.19,0.1,4875.0
9.51,-3.59,-391.5,0.0,0.78,0.96,134.83,0.101,4935.0
7.28,-3.41,-392.16,0.0,0.71,2.03,132.15,0.102,4998.0
5.08,-3.23,-392.8,0.0,0.91,3.7,129.53,0.103,5061.0
2.83,-3.05,-393.45,0.0,0.73,1.87,126.83,0.104,5127.0
0.72,-2.88,-394.05,0.0,0.69,3.6,124.22,0.105,5190.0
-1.54,-2.7,-394.69,0.8,0.99,2.84,121.78,0.106,5259.0
-3.86,-2.52,-395.33,0.8,0.9,5.49,118.96,0.107,5331.0
-6.22,-2.32,-395.97,0.31,0.85,8.5,115.85,0.108,5406.0
-8.15,-2.16,-396.48,0.0,1.0,9.52,113.19,0.109,5469.0
-10.49,-1.96,-397.08,0.0,0.85,13.6,109.88,0.11,5547.0
-13.08,-1.74,-397.72,0.0,0.66,14.23,106.22,0.111,5637.0
-15.24,-1.56,-398.24,0.0,0.55,15.1,103.59,0.112,5712.0
-17.4,-1.37,-398.73,0.0,0.35,15.35,101.16,0.113,5790.0
-19.61,-1.18,-399.19,0.0,0.32,13.21,99.28,0.114,5871.0
-21.8,-1.0,-399.6,0.0,0.32,14.08,97.52,0.115,5952.0
-24.18,-0.81,-400.01,0.8,0.19,13.11,95.87,0.116,6042.0
-26.38,-0.63,-400.35,0.71,0.3,14.61,94.56,0.117,6126.0
-28.72,-0.44,-400.66,0.0,0.22,18.22,93.28,0.118,6216.0
-31.03,-0.26,-400.91,0.0,0.13,18.21,92.09,0.119,6306.0
-33.46,-0.07,-401.12,0.0,0.1,18.18,90.88,0.12,6402.0
-35.88,0.12,-401.28,0.01,0.0,19.28,89.79,0.121,6498.0
-38.19,0.3,-401.37,0.0,0.04,24.18,89.04,0.122,6591.0
-40.42,0.46,-401.41,0.0,0.02,26.12,88.37,0.123,6681.0
-42.78,0.64,-401.39,0.04,0.0,28.8,87.61,0.124,6777.0
-45.19,0.82,-401.3,0.07,0.0,27.65,86.95,0.125,6876.0
-47.37,0.98,-401.16,0.07,0.0,31.92,86.44,0.126,6966.0
-49.6,1.14,-400.96,0.1,0.0,32.02,85.97,0.127,7059.0
-51.89,1.3,-400.68,0.09,0.0,37.43,85.54,0.128,7155.0
-54.23,1.46,-400.31,0.14,0.0,35.18,85.11,0.129,7254.0
-56.62,1.61,-399.86,0.16,0.0,40.34,84.69,0.13,7356.0
-58.84,1.77,-399.34,0.21,0.0,43.49,84.27,0.131,7452.0
-61.16,1.95,-398.7,0.28,0.0,41.38,83.76,0.132,7554.0
-63.1,2.11,-398.11,0.36,0.0,40.21,83.49,0.133,7641.0
-65.35,2.34,-397.27,0.46,0.0,38.47,83.09,0.134,7743.0
-67.43,2.53,-396.44,0.47,0.0,35.88,82.95,0.135,7839.0
-69.57,2.74,-395.43,0.49,0.0,37.27,82.77,0.136,7941.0
-71.58,2.95,-394.48,0.76,0.0,38.07,82.65,0.137,8037.0
-73.6,3.18,-393.39,1.0,0.0,39.07,82.84,0.138,8136.0
-75.46,3.39,-392.32,1.0,0.0,39.01,82.97,0.139,8229.0
-77.43,3.59,-391.13,1.0,0.0,39.8,83.37,0.14,8328.0
-79.31,3.78,-389.92,1.0,0.0,46.87,83.71,0.141,8424.0
-81.22,3.96,-388.61,1.0,0.0,50.33,84.01,0.142,8523.0
-82.98,4.12,-387.31,1.0,0.0,45.7,84.3,0.143,8616.0
-84.77,4.27,-385.91,1.0,0.0,46.52,84.6,0.144,8712.0
-86.46,4.41,-384.48,1.0,0.0,39.82,84.92,0.145,8805.0
-88.16,4.55,-382.95,1.0,0.0,32.78,85.25,0.146,8901.0
