X,Y,Z,throttle,brake,steer,speed,position,lap_time
248.91,-12.14,-318.2,1.0,0,0.596,0.01,0.992,657.0
248.74,-12.14,-318.25,1.0,0,-0.024,5.22,0.993,2364.0
246.54,-12.14,-318.93,1.0,0,0.007,19.31,0.994,3048.0
244.28,-12.14,-319.65,1.0,0,0.009,27.08,0.995,3414.0
242.09,-12.13,-320.34,1.0,0,0.012,31.43,0.996,3696.0
239.88,-12.12,-321.02,1.0,0,0.003,35.26,0.997,3945.0
237.67,-12.1,-321.71,1.0,0,0.005,38.96,0.998,4170.0
235.46,-12.1,-322.39,1.0,0,0.007,42.41,0.999,4374.0
233.24,-12.09,-323.06,1.0,0,0.008,45.64,1.0,4563.0
232.13,-12.09,-323.39,1.0,0,0.008,47.17,0.0,4653.0
231.06,-12.09,-323.72,1.0,0,-0.001,48.61,0.001,4737.0
228.82,-12.09,-324.39,1.0,0,-0.0,51.45,0.002,4905.0
226.63,-12.09,-325.05,1.0,0,0.0,54.01,0.003,5061.0
224.41,-12.08,-325.72,1.0,0,0.001,54.76,0.004,5214.0
222.18,-12.06,-326.39,1.0,0,0.002,54.63,0.005,5367.0
219.95,-12.05,-327.06,1.0,0,0.003,56.69,0.006,5517.0
217.75,-12.04,-327.72,1.0,0,0.003,58.22,0.007,5661.0
215.49,-12.03,-328.39,1.0,0,0.004,59.78,0.008,5805.0
213.31,-12.02,-329.03,1.0,0,0.004,61.26,0.009,5940.0
211.07,-12.01,-329.69,1.0,0,0.004,62.76,0.01,6075.0
208.73,-11.99,-330.37,1.0,0,-0.007,64.34,0.011,6213.0
206.6,-11.98,-331.0,1.0,0,0.003,65.76,0.012,6336.0
204.37,-11.96,-331.65,1.0,0,0.003,67.19,0.013,6462.0
202.09,-11.94,-332.32,1.0,0,-0.007,68.63,0.014,6588.0
199.87,-11.93,-332.97,1.0,0,0.003,69.99,0.015,6708.0
196.34,-11.89,-334.0,1.0,0,-0.008,72.09,0.016,6894.0
195.48,-11.89,-334.25,1.0,0,-0.008,72.6,0.017,6939.0
193.13,-11.86,-334.94,1.0,0,0.002,73.95,0.018,7059.0
191.04,-11.84,-335.55,1.0,0,0.001,75.13,0.019,7164.0
188.68,-11.81,-336.24,1.0,0,0.001,76.45,0.02,7281.0
186.59,-11.78,-336.86,1.0,0,0.001,77.58,0.021,7383.0
184.33,-11.75,-337.52,1.0,0,-0.0,78.79,0.022,7491.0
182.11,-11.72,-338.17,1.0,0,-0.001,79.95,0.023,7596.0
179.92,-11.68,-338.81,1.0,0,-0.001,81.09,0.024,7698.0
177.64,-11.64,-339.48,1.0,0,-0.002,82.24,0.025,7803.0
175.45,-11.6,-340.12,1.0,0,-0.002,83.33,0.026,7902.0
173.17,-11.57,-340.79,1.0,0,-0.003,84.44,0.027,8004.0
171.0,-11.53,-341.43,1.0,0,-0.004,85.47,0.028,8100.0
168.73,-11.49,-342.11,1.0,0,-0.004,86.54,0.029,8199.0
166.58,-11.45,-342.75,1.0,0,-0.004,87.51,0.03,8292.0
164.34,-11.41,-343.43,1.0,0,-0.004,88.51,0.031,8388.0
162.14,-11.37,-344.09,1.0,0,0.006,89.46,0.032,8481.0
159.98,-11.32,-344.74,1.0,0,0.006,90.38,0.033,8571.0
157.74,-11.27,-345.42,1.0,0,-0.004,91.29,0.034,8664.0
155.54,-11.22,-346.08,1.0,0,-0.004,92.14,0.035,8754.0
153.11,-11.16,-346.82,1.0,0,-0.004,92.32,0.036,8853.0
151.05,-11.11,-347.45,1.0,0,0.006,92.16,0.037,8937.0
148.7,-11.05,-348.16,1.0,0,0.005,91.98,0.038,9033.0
146.64,-10.99,-348.78,1.0,0,-0.005,92.42,0.039,9117.0
144.42,-10.94,-349.45,1.0,0,-0.006,93.08,0.04,9207.0
142.19,-10.87,-350.13,1.0,0,0.004,93.72,0.041,9297.0
140.02,-10.81,-350.79,1.0,0,0.004,94.35,0.042,9384.0
137.75,-10.74,-351.48,1.0,0,-0.007,94.99,0.043,9474.0
135.47,-10.66,-352.17,1.0,0,0.003,95.63,0.044,9564.0
133.18,-10.59,-352.87,1.0,0,0.002,96.26,0.045,9654.0
131.1,-10.53,-353.5,1.0,0,0.002,96.82,0.046,9735.0
128.93,-10.45,-354.16,1.0,0,0.001,97.43,0.047,9819.0
126.67,-10.38,-354.84,1.0,0,-0.01,98.03,0.048,9906.0
124.48,-10.31,-355.51,1.0,0,-0.001,98.61,0.049,9990.0
122.2,-10.24,-356.21,1.0,0,-0.001,99.22,0.05,10077.0
120.06,-10.17,-356.86,1.0,0,-0.002,99.79,0.051,10158.0
117.66,-10.08,-357.6,1.0,0,-0.003,100.4,0.052,10248.0
115.66,-10.01,-358.21,1.0,0,-0.004,100.93,0.053,10323.0
113.32,-9.92,-358.93,1.0,0,-0.005,101.52,0.054,10410.0
111.06,-9.84,-359.64,1.0,0,-0.005,102.07,0.055,10494.0
108.86,-9.75,-360.32,1.0,0,-0.006,102.62,0.056,10575.0
106.74,-9.66,-360.99,1.0,0,0.004,103.12,0.057,10653.0
104.52,-9.57,-361.69,1.0,0,0.004,103.68,0.058,10734.0
102.29,-9.48,-362.39,1.0,0,0.004,104.22,0.059,10815.0
100.05,-9.38,-363.09,1.0,0,0.003,104.75,0.06,10896.0
97.96,-9.29,-363.75,1.0,0,-0.007,105.24,0.061,10971.0
95.53,-9.18,-364.51,1.0,0,-0.008,105.82,0.062,11058.0
93.51,-9.08,-365.15,1.0,0,0.002,106.25,0.063,11130.0
91.23,-8.97,-365.87,1.0,0,0.001,106.8,0.064,11211.0
89.1,-8.87,-366.54,1.0,0,0.001,107.26,0.065,11286.0
86.88,-8.76,-367.24,1.0,0,0.001,107.75,0.066,11364.0
84.57,-8.64,-367.97,1.0,0,0.0,108.21,0.067,11445.0
82.5,-8.53,-368.62,1.0,0,-0.0,108.75,0.068,11517.0
80.16,-8.41,-369.35,1.0,0,-0.001,109.23,0.069,11598.0
78.08,-8.3,-370.01,1.0,0,-0.001,109.69,0.07,11670.0
75.74,-8.16,-370.8,1.0,0,0.001,110.16,0.071,11751.0
73.63,-8.05,-371.44,1.0,0,-0.001,110.57,0.072,11823.0
71.25,-7.91,-372.2,1.0,0,-0.0,111.1,0.073,11904.0
69.05,-7.78,-372.9,1.0,0,-0.0,111.54,0.074,11979.0
67.01,-7.65,-373.55,1.0,0,0.0,111.95,0.075,12048.0
64.87,-7.53,-374.23,1.0,0,0.0,112.34,0.076,12120.0
62.64,-7.39,-374.94,1.0,0,0.001,112.8,0.077,12195.0
60.4,-7.25,-375.65,1.0,0,0.001,113.21,0.078,12270.0
58.25,-7.11,-376.34,1.0,0,0.002,113.63,0.079,12342.0
55.8,-6.95,-377.12,1.0,0,0.002,114.07,0.08,12423.0
53.64,-6.8,-377.82,1.0,0,0.004,114.47,0.081,12495.0
51.65,-6.68,-378.43,1.0,0,0.003,114.81,0.082,12561.0
49.44,-6.52,-379.15,1.0,0,0.005,115.22,0.083,12633.0
47.06,-6.37,-379.9,1.0,0,0.006,115.6,0.084,12711.0
44.86,-6.21,-380.6,1.0,0,0.007,116.0,0.085,12783.0
42.55,-6.06,-381.32,1.0,0,0.007,116.37,0.086,12858.0
40.61,-5.92,-381.93,1.0,0,-0.002,116.72,0.087,12921.0
38.41,-5.75,-382.62,1.0,0,-0.001,117.08,0.088,12993.0
35.96,-5.58,-383.39,1.0,0,0.001,117.51,0.089,13071.0
33.93,-5.45,-384.02,1.0,0,0.002,117.82,0.09,13137.0
31.76,-5.3,-384.7,1.0,0,0.003,118.17,0.091,13206.0
29.41,-5.13,-385.43,1.0,0,0.005,118.57,0.092,13281.0
27.15,-4.96,-386.14,1.0,0,0.007,118.99,0.093,13353.0
25.16,-4.8,-386.75,1.0,0,0.008,119.31,0.094,13416.0
22.88,-4.62,-387.46,1.0,0,0.01,119.7,0.095,13488.0
20.59,-4.44,-388.16,1.0,0,0.012,120.05,0.096,13560.0
18.39,-4.27,-388.83,1.0,0,0.003,120.39,0.097,13629.0
16.28,-4.11,-389.46,1.0,0,0.005,120.75,0.098,13695.0
14.06,-3.94,-390.13,1.0,0,0.007,121.09,0.099,13764.0
11.64,-3.75,-390.85,1.0,0,0.009,121.47,0.1,13839.0
9.61,-3.6,-391.45,1.0,0,0.002,121.8,0.101,13902.0
7.37,-3.42,-392.1,1.0,0,0.005,122.16,0.102,13971.0
5.22,-3.25,-392.73,1.0,0,0.009,122.49,0.103,14037.0
2.96,-3.06,-393.38,0.601,0,0.013,122.84,0.104,14106.0
0.51,-2.86,-394.07,0,0.372,0.01,122.6,0.105,14181.0
-1.54,-2.7,-394.65,0,0.633,0.017,121.1,0.106,14244.0
-3.85,-2.52,-395.28,0,0.941,0.026,118.5,0.107,14316.0
-6.01,-2.34,-395.87,0,0.813,0.025,115.61,0.108,14385.0
-8.21,-2.16,-396.46,0,0.659,0.025,112.59,0.109,14457.0
-10.54,-1.96,-397.06,0,0.869,0.03,109.48,0.11,14535.0
-12.65,-1.78,-397.58,0,0.717,0.031,106.69,0.111,14607.0
-14.96,-1.57,-398.12,0,0.47,0.024,103.85,0.112,14688.0
-17.22,-1.39,-398.61,0,0.539,0.023,101.45,0.113,14769.0
-19.67,-1.18,-399.11,0,0.3,0.018,99.12,0.114,14859.0
-21.85,-1.0,-399.51,0,0.182,0.023,97.34,0.115,14940.0
-24.23,-0.81,-399.91,0,0.248,0.026,95.72,0.116,15030.0
-26.43,-0.64,-400.23,0,0.154,0.033,94.32,0.117,15114.0
-28.75,-0.44,-400.54,0,0.07,0.033,93.05,0.118,15204.0
-31.21,-0.25,-400.81,0,0.11,0.051,91.85,0.119,15300.0
-33.49,-0.07,-401.02,0,0.04,0.053,90.82,0.12,15390.0
-35.82,0.11,-401.18,0,0.084,0.065,89.9,0.121,15483.0
-38.07,0.28,-401.29,0,0.026,0.07,89.07,0.122,15573.0
-40.44,0.46,-401.34,0.034,0,0.066,88.29,0.123,15669.0
-42.8,0.64,-401.34,0.016,0,0.083,87.58,0.124,15765.0
-45.0,0.81,-401.27,0.051,0,0.082,87.01,0.125,15855.0
-47.39,0.98,-401.13,0.045,0,0.093,86.43,0.126,15954.0
-49.63,1.14,-400.94,0.081,0,0.095,85.96,0.127,16047.0
-51.92,1.3,-400.66,0.118,0,0.088,85.52,0.128,16143.0
-54.26,1.46,-400.3,0.125,0,0.104,85.09,0.129,16242.0
-56.43,1.6,-399.89,0.173,0,0.108,84.7,0.13,16335.0
-58.72,1.76,-399.37,0.244,0,0.104,84.27,0.131,16434.0
-60.91,1.93,-398.78,0.31,0,0.111,83.82,0.132,16530.0
-63.13,2.11,-398.1,0.371,0,0.097,83.5,0.133,16629.0
-65.31,2.33,-397.29,0.465,0,0.09,83.09,0.134,16728.0
-67.45,2.54,-396.43,0.475,0,0.095,82.95,0.135,16827.0
-69.53,2.74,-395.47,0.53,0,0.097,82.72,0.136,16926.0
-71.61,2.96,-394.47,1.0,0,0.101,82.59,0.137,17025.0
-73.62,3.18,-393.39,1.0,0,0.092,82.82,0.138,17124.0
-75.49,3.39,-392.31,1.0,0,0.093,82.93,0.139,17217.0
-77.39,3.59,-391.16,1.0,0,0.112,83.35,0.14,17313.0
-79.33,3.78,-389.91,1.0,0,0.123,83.69,0.141,17412.0
-81.12,3.95,-388.68,1.0,0,0.121,83.98,0.142,17505.0
-82.94,4.11,-387.34,1.0,0,0.126,84.28,0.143,17601.0
-84.78,4.27,-385.89,1.0,0,0.111,84.59,0.144,17700.0
-86.41,4.41,-384.51,1.0,0,0.094,84.9,0.145,17790.0
-88.17,4.55,-382.93,1.0,0,0.081,85.25,0.146,17889.0
-89.77,4.68,-381.38,1.0,0,0.069,85.58,0.147,17982.0
-91.28,4.79,-379.84,1.0,0,0.045,85.94,0.148,18072.0
-92.85,4.91,-378.14,1.0,0,0.029,86.36,0.149,18168.0
-94.33,5.01,-376.44,1.0,0,0.022,86.81,0.15,18261.0
-95.82,5.11,-374.65,1.0,0,0.011,87.34,0.151,18357.0
-97.24,5.21,-372.87,1.0,0,0.008,87.88,0.152,18450.0
-98.69,5.3,-371.01,1.0,0,0.005,88.49,0.153,18546.0
-100.07,5.39,-369.17,1.0,0,-0.002,89.09,0.154,18639.0
-101.49,5.49,-367.27,1.0,0,0.001,89.72,0.155,18735.0
-102.83,5.56,-365.45,1.0,0,0.004,90.25,0.156,18825.0
-104.3,5.65,-363.45,1.0,0,0.007,90.93,0.157,18924.0
-105.6,5.74,-361.67,1.0,0,0.008,91.49,0.158,19011.0
-106.95,5.79,-359.82,1.0,0,0.01,92.09,0.159,19101.0
-108.3,5.87,-357.95,1.0,0,0.012,92.71,0.16,19191.0
-109.71,5.94,-355.99,1.0,0,0.003,93.42,0.161,19284.0
-111.03,6.01,-354.15,1.0,0,0.003,94.03,0.162,19371.0
-112.4,6.07,-352.24,1.0,0,0.004,94.68,0.163,19461.0
-113.69,6.13,-350.43,1.0,0,0.004,95.26,0.164,19545.0
-115.02,6.18,-348.55,1.0,0,0.004,95.89,0.165,19632.0
-116.42,6.24,-346.58,1.0,0,-0.006,96.53,0.166,19722.0
-117.72,6.27,-344.73,1.0,0,0.003,97.09,0.167,19806.0
-119.13,6.33,-342.75,1.0,0,0.003,97.74,0.168,19896.0
-120.4,6.34,-340.95,1.0,0,0.002,98.3,0.169,19977.0
-121.77,6.39,-339.01,1.0,0,0.001,98.97,0.17,20064.0
-123.08,6.41,-337.2,1.0,0,0.001,99.54,0.171,20145.0
