X,Y,Z,throttle,brake,steer,speed,position,lap_time
232.2,-12.08,-323.9,0,0,0,166.83,0,0
231,-12.08,-324.25,0,0,0,166.94,0.001,0
228.86,-12.08,-324.87,0,0,0,167.14,0.002,42
226.58,-12.08,-325.54,0,0,0,167.37,0.003,93
224.44,-12.07,-326.16,0,0,0,167.58,0.004,141
222.16,-12.05,-326.83,0,0,0,167.79,0.005,192
220.01,-12.04,-327.46,0,0,0,167.98,0.006,240
217.73,-12.03,-328.13,0,0,0,168.17,0.007,291
215.57,-12.02,-328.76,0,0,0,168.34,0.008,339
213.28,-12.01,-329.43,0,0,0,168.53,0.009,390
211.13,-12,-330.06,0,0,0,168.71,0.01,438
208.83,-11.98,-330.74,0,0,0,168.7,0.011,489
206.68,-11.97,-331.37,0,0,0,168.56,0.012,537
204.38,-11.95,-332.04,0,0,0,168.42,0.013,588
202.23,-11.94,-332.67,0,0,0,168.28,0.014,636
199.94,-11.92,-333.34,0,0,0,168.14,0.015,687
196.32,-11.88,-334.41,0,0,0,167.79,0.016,768
195.51,-11.88,-334.64,0,0,0,167.83,0.017,786
193.1,-11.85,-335.35,0,0,0,168,0.018,840
191.08,-11.82,-335.95,0,0,0,168.15,0.019,885
188.93,-11.8,-336.58,0,0,0,168.3,0.02,933
186.64,-11.77,-337.25,0,0,0,168.46,0.021,984
184.48,-11.74,-337.88,0,0,0,168.62,0.022,1032
182.19,-11.7,-338.55,0,0,0,168.77,0.023,1083
180.03,-11.67,-339.19,0,0,0,168.93,0.024,1131
177.73,-11.63,-339.86,0,0,0,169.08,0.025,1182
175.56,-11.59,-340.49,0,0,0,169.22,0.026,1230
173.26,-11.56,-341.16,0,0,0,169.38,0.027,1281
171.09,-11.52,-341.8,0,0,0,169.52,0.028,1329
168.79,-11.48,-342.47,0,0,0,169.68,0.029,1380
166.61,-11.44,-343.11,0,0,0,169.83,0.03,1428
164.3,-11.4,-343.78,0,0,0,169.99,0.031,1479
162.26,-11.36,-344.37,0,0,0,170.12,0.032,1524
159.81,-11.31,-345.09,0,0,0,170.28,0.033,1578
157.77,-11.26,-345.68,0,0,0,170.41,0.034,1623
155.58,-11.22,-346.32,0,0,0,170.55,0.035,1671
153.26,-11.16,-346.99,0,0,0,170.69,0.036,1722
