X,Y,Z,throttle,brake,steer,speed,position,lap_time
248.91,-12.14,-318.19,0.0,0.0,-7.65,0.01,0.992,13389.0
248.74,-12.14,-318.25,0.38,0.0,0.5,2.48,0.993,23577.0
246.51,-12.14,-318.9,0.95,0.0,9.86,16.09,0.994,24603.0
244.27,-12.14,-319.53,1.0,0.0,1.93,22.91,0.995,25038.0
242.05,-12.14,-320.17,1.0,0.0,-2.34,28.31,0.996,25362.0
239.81,-12.12,-320.83,1.0,0.0,-2.16,32.49,0.997,25638.0
237.6,-12.11,-321.48,0.56,0.0,-0.13,35.47,0.998,25881.0
235.38,-12.11,-322.12,0.61,0.0,3.82,37.52,0.999,26109.0
233.14,-12.1,-322.76,0.65,0.0,3.19,39.73,1.0,26325.0
232.08,-12.1,-323.06,0.66,0.0,2.74,40.77,0.0,26424.0
230.92,-12.1,-323.38,0.67,0.0,-0.36,41.88,0.001,26529.0
228.71,-12.1,-324.0,0.68,0.0,-0.22,43.9,0.002,26721.0
226.48,-12.1,-324.64,0.68,0.0,-0.31,45.88,0.003,26907.0
224.23,-12.09,-325.28,0.67,0.0,-0.72,47.75,0.004,27087.0
222.01,-12.08,-325.91,0.67,0.0,-0.9,49.49,0.005,27258.0
219.83,-12.06,-326.53,0.67,0.0,-0.76,51.12,0.006,27420.0
217.58,-12.05,-327.17,0.67,0.0,-0.76,52.7,0.007,27582.0
215.36,-12.04,-327.81,0.67,0.0,-0.76,54.16,0.008,27738.0
213.12,-12.03,-328.46,0.67,0.0,-0.76,55.53,0.009,27891.0
210.88,-12.02,-329.11,0.0,0.0,-0.76,55.93,0.01,28041.0
208.69,-12.01,-329.74,0.0,0.0,-0.76,55.81,0.011,28188.0
206.42,-12.0,-330.4,0.67,0.0,-0.68,57.37,0.012,28338.0
204.2,-11.98,-331.05,0.67,0.0,-0.58,58.31,0.013,28482.0
201.99,-11.96,-331.7,0.67,0.0,-0.58,59.23,0.014,28623.0
199.8,-11.94,-332.34,0.67,0.0,-0.76,60.12,0.015,28761.0
196.15,-11.91,-333.41,0.67,0.0,-1.12,61.59,0.016,28986.0
195.31,-11.9,-333.66,0.67,0.0,-1.12,61.92,0.017,29037.0
192.92,-11.87,-334.37,0.67,0.0,-1.12,62.88,0.018,29181.0
190.9,-11.85,-334.97,0.67,0.0,-1.08,63.68,0.019,29301.0
188.64,-11.82,-335.65,0.67,0.0,-1.08,64.58,0.02,29433.0
186.46,-11.8,-336.3,0.67,0.0,-0.94,65.43,0.021,29559.0
184.26,-11.77,-336.96,0.67,0.0,-0.94,66.28,0.022,29685.0
182.02,-11.73,-337.64,0.64,0.0,-0.94,67.11,0.023,29811.0
179.76,-11.69,-338.32,0.64,0.0,-0.94,67.92,0.024,29937.0
177.58,-11.66,-338.99,0.76,0.0,-1.03,68.71,0.025,30057.0
175.32,-11.62,-339.68,0.98,0.0,-0.85,69.72,0.026,30180.0
173.14,-11.58,-340.35,1.0,0.0,-0.76,70.99,0.027,30297.0
170.91,-11.54,-341.03,1.0,0.0,3.38,72.28,0.028,30414.0
168.64,-11.5,-341.72,1.0,0.0,7.38,73.57,0.029,30531.0
166.5,-11.46,-342.35,1.0,0.0,-0.36,74.77,0.03,30639.0
164.27,-11.42,-343.02,1.0,0.0,-0.31,75.99,0.031,30750.0
162.07,-11.38,-343.67,1.0,0.0,-1.53,77.18,0.032,30858.0
159.84,-11.33,-344.33,1.0,0.0,-2.97,78.37,0.033,30966.0
157.63,-11.29,-345.0,1.0,0.0,-2.47,79.51,0.034,31071.0
155.33,-11.23,-345.69,1.0,0.0,-2.74,80.68,0.035,31179.0
153.2,-11.18,-346.34,1.0,0.0,-2.2,81.75,0.036,31278.0
150.97,-11.12,-347.03,1.0,0.0,-1.66,82.84,0.037,31380.0
148.78,-11.07,-347.7,1.0,0.0,-1.62,83.91,0.038,31479.0
146.57,-11.01,-348.39,1.0,0.0,-1.26,84.95,0.039,31578.0
144.33,-10.95,-349.1,1.0,0.0,0.31,85.98,0.04,31677.0
142.13,-10.88,-349.79,1.0,0.0,0.36,86.97,0.041,31773.0
139.83,-10.81,-350.51,1.0,0.0,0.81,87.97,0.042,31872.0
137.72,-10.74,-351.17,1.0,0.0,0.72,88.87,0.043,31962.0
135.52,-10.67,-351.87,1.0,0.0,0.63,89.79,0.044,32055.0
133.23,-10.6,-352.58,1.0,0.0,0.13,90.71,0.045,32151.0
131.05,-10.53,-353.27,1.0,0.0,0.09,91.54,0.046,32241.0
128.86,-10.46,-353.95,1.0,0.0,0.54,92.37,0.047,32331.0
126.65,-10.39,-354.64,0.0,0.0,2.43,92.31,0.048,32421.0
124.45,-10.32,-355.33,0.0,0.0,3.06,92.12,0.049,32511.0
122.25,-10.24,-356.01,0.0,0.0,0.09,91.93,0.05,32601.0
119.98,-10.17,-356.71,1.0,0.0,-1.89,92.53,0.051,32694.0
117.76,-10.09,-357.39,1.0,0.0,-1.89,93.17,0.052,32784.0
115.6,-10.01,-358.06,1.0,0.0,-1.85,93.78,0.053,32871.0
113.36,-9.93,-358.75,1.0,0.0,-1.08,94.4,0.054,32961.0
111.1,-9.84,-359.45,1.0,0.0,1.12,95.02,0.055,33051.0
108.97,-9.76,-360.11,1.0,0.0,1.66,95.59,0.056,33135.0
106.76,-9.67,-360.8,1.0,0.0,-1.08,96.18,0.057,33222.0
104.46,-9.57,-361.52,1.0,0.0,-5.8,96.8,0.058,33312.0
102.3,-9.48,-362.2,1.0,0.0,-4.09,97.36,0.059,33396.0
100.06,-9.39,-362.91,1.0,0.0,-0.72,97.94,0.06,33483.0
97.88,-9.29,-363.61,1.0,0.0,-0.76,98.49,0.061,33567.0
95.61,-9.19,-364.34,1.0,0.0,-1.12,99.07,0.062,33654.0
93.48,-9.08,-365.02,1.0,0.0,-1.08,99.58,0.063,33735.0
91.27,-8.97,-365.74,1.0,0.0,-1.66,100.14,0.064,33819.0
89.12,-8.87,-366.44,1.0,0.0,-2.25,100.65,0.065,33900.0
86.81,-8.76,-367.2,1.0,0.0,-2.43,101.21,0.066,33987.0
84.65,-8.64,-367.91,1.0,0.0,-0.9,101.66,0.067,34068.0
82.47,-8.53,-368.63,1.0,0.0,0.0,102.25,0.068,34149.0
80.28,-8.41,-369.36,1.0,0.0,0.0,102.75,0.069,34230.0
