X,Y,Z,throttle,brake,steer,speed,position,lap_time
248.91,-12.14,-318.2,0.0,1.0,0.0,0.01,0.992,234.0
248.73,-12.14,-318.25,1.0,0.0,-11.14,5.36,0.993,2271.0
246.49,-12.14,-318.95,1.0,0.0,3.1,19.7,0.994,2955.0
244.27,-12.14,-319.65,1.0,0.0,4.15,27.21,0.995,3309.0
242.07,-12.13,-320.34,1.0,0.0,5.16,31.61,0.996,3591.0
239.82,-12.12,-321.04,1.0,0.0,1.63,35.56,0.997,3843.0
237.67,-12.1,-321.7,1.0,0.0,2.33,39.18,0.998,4059.0
235.28,-12.1,-322.44,1.0,0.0,2.99,42.93,0.999,4278.0
233.12,-12.09,-323.09,1.0,0.0,3.58,46.1,1.0,4461.0
232.07,-12.09,-323.41,1.0,0.0,-0.88,47.55,0.0,4545.0
231.03,-12.09,-323.72,1.0,0.0,-0.77,48.96,0.001,4626.0
228.77,-12.09,-324.4,1.0,0.0,-0.27,51.82,0.002,4794.0
226.4,-12.09,-325.12,1.0,0.0,0.18,54.58,0.003,4962.0
224.22,-12.08,-325.78,0.0,0.0,0.59,54.59,0.004,5112.0
222.04,-12.06,-326.44,0.0,0.0,1.07,55.12,0.005,5262.0
219.79,-12.05,-327.11,1.0,0.0,1.28,56.96,0.006,5412.0
217.72,-12.04,-327.73,1.0,0.0,1.62,58.42,0.007,5547.0
215.35,-12.03,-328.43,1.0,0.0,1.79,60.07,0.008,5697.0
213.21,-12.02,-329.07,1.0,0.0,1.85,61.53,0.009,5829.0
211.02,-12.01,-329.71,1.0,0.0,1.87,63.03,0.01,5961.0
208.72,-11.99,-330.38,1.0,0.0,-2.83,64.6,0.011,6096.0
206.42,-11.98,-331.06,1.0,0.0,1.63,66.15,0.012,6228.0
204.33,-11.96,-331.66,1.0,0.0,1.57,67.48,0.013,6345.0
201.88,-11.94,-332.38,1.0,0.0,-3.24,69.05,0.014,6480.0
199.7,-11.92,-333.02,1.0,0.0,1.28,70.39,0.015,6597.0
196.16,-11.89,-334.06,1.0,0.0,1.15,72.52,0.016,6783.0
195.23,-11.88,-334.33,1.0,0.0,1.08,73.07,0.017,6831.0
192.93,-11.86,-335.01,1.0,0.0,-3.65,74.4,0.018,6948.0
190.89,-11.83,-335.61,1.0,0.0,0.76,75.56,0.019,7050.0
188.51,-11.8,-336.3,1.0,0.0,0.48,76.89,0.02,7167.0
186.47,-11.78,-336.9,1.0,0.0,0.38,78.01,0.021,7266.0
184.33,-11.75,-337.53,1.0,0.0,0.25,79.16,0.022,7368.0
181.84,-11.71,-338.26,1.0,0.0,0.0,80.47,0.023,7485.0
179.7,-11.68,-338.89,1.0,0.0,-0.33,81.59,0.024,7584.0
177.53,-11.64,-339.52,1.0,0.0,-0.47,82.69,0.025,7683.0
175.27,-11.6,-340.19,1.0,0.0,-0.76,83.82,0.026,7785.0
173.04,-11.56,-340.85,1.0,0.0,-0.91,84.91,0.027,7884.0
170.72,-11.53,-341.53,1.0,0.0,-1.24,86.01,0.028,7986.0
168.79,-11.49,-342.11,1.0,0.0,-1.44,86.92,0.029,8070.0
166.48,-11.45,-342.79,1.0,0.0,-1.4,87.97,0.03,8169.0
164.16,-11.41,-343.49,1.0,0.0,-1.5,89.01,0.031,8268.0
162.16,-11.37,-344.09,1.0,0.0,-1.51,89.87,0.032,8352.0
159.71,-11.32,-344.84,1.0,0.0,3.01,90.9,0.033,8454.0
157.74,-11.27,-345.43,1.0,0.0,2.91,91.69,0.034,8535.0
155.24,-11.21,-346.18,0.0,0.0,-1.74,92.32,0.035,8637.0
153.18,-11.17,-346.81,0.0,0.0,-1.88,92.16,0.036,8721.0
150.76,-11.1,-347.54,0.0,0.0,-1.8,91.96,0.037,8820.0
148.71,-11.05,-348.16,1.0,0.0,2.55,92.25,0.038,8904.0
146.64,-10.99,-348.79,1.0,0.0,2.51,92.7,0.039,8988.0
144.19,-10.93,-349.53,1.0,0.0,-2.33,93.43,0.04,9087.0
142.1,-10.87,-350.16,1.0,0.0,-2.39,94.04,0.041,9171.0
139.99,-10.8,-350.8,1.0,0.0,2.01,94.65,0.042,9255.0
137.49,-10.73,-351.56,1.0,0.0,1.83,95.36,0.043,9354.0
135.36,-10.66,-352.21,1.0,0.0,-3.08,95.97,0.044,9438.0
133.21,-10.59,-352.86,1.0,0.0,-3.38,96.56,0.045,9522.0
131.12,-10.53,-353.5,1.0,0.0,0.93,97.13,0.046,9603.0
128.95,-10.46,-354.16,1.0,0.0,0.66,97.74,0.047,9687.0
126.29,-10.37,-354.97,1.0,0.0,0.18,98.46,0.048,9789.0
124.17,-10.3,-355.61,1.0,0.0,-0.19,99.03,0.049,9870.0
121.95,-10.23,-356.29,1.0,0.0,-0.41,99.62,0.05,9954.0
119.72,-10.16,-356.96,1.0,0.0,-1.0,100.21,0.051,10038.0
117.48,-10.08,-357.65,1.0,0.0,-1.5,100.8,0.052,10122.0
115.22,-9.99,-358.34,1.0,0.0,-1.76,101.39,0.053,10206.0
112.96,-9.91,-359.03,1.0,0.0,-2.24,101.96,0.054,10290.0
111.17,-9.84,-359.58,1.0,0.0,-2.57,102.4,0.055,10356.0
108.89,-9.75,-360.3,1.0,0.0,-2.82,102.97,0.056,10440.0
106.59,-9.66,-361.01,1.0,0.0,-3.02,103.52,0.057,10524.0
104.36,-9.57,-361.72,1.0,0.0,1.47,104.08,0.058,10605.0
102.04,-9.47,-362.45,1.0,0.0,1.3,104.65,0.059,10689.0
100.13,-9.38,-363.05,1.0,0.0,1.04,105.11,0.06,10758.0
97.87,-9.28,-363.77,1.0,0.0,1.13,105.65,0.061,10839.0
95.51,-9.18,-364.51,1.0,0.0,0.87,106.21,0.062,10923.0
93.14,-9.06,-365.26,1.0,0.0,0.7,106.74,0.063,11007.0
91.28,-8.97,-365.84,1.0,0.0,0.44,107.19,0.064,11073.0
88.88,-8.86,-366.59,1.0,0.0,-4.35,107.72,0.065,11157.0
86.48,-8.74,-367.35,1.0,0.0,0.0,108.26,0.066,11241.0
84.6,-8.64,-367.95,1.0,0.0,-0.07,108.61,0.067,11307.0
82.17,-8.52,-368.72,1.0,0.0,-0.3,109.21,0.068,11391.0
80.26,-8.41,-369.32,1.0,0.0,-0.26,109.64,0.069,11457.0
77.82,-8.28,-370.1,1.0,0.0,-0.41,110.17,0.07,11541.0
75.55,-8.15,-370.84,1.0,0.0,0.6,110.62,0.071,11619.0
73.62,-8.05,-371.46,1.0,0.0,0.14,111.01,0.072,11685.0
71.15,-7.9,-372.25,1.0,0.0,0.26,111.55,0.073,11769.0
69.2,-7.78,-372.88,1.0,0.0,0.33,111.94,0.074,11835.0
66.73,-7.64,-373.66,1.0,0.0,0.6,112.45,0.075,11919.0
64.74,-7.52,-374.3,1.0,0.0,0.82,112.81,0.076,11985.0
62.69,-7.39,-374.97,1.0,0.0,1.28,113.23,0.077,12054.0
60.25,-7.24,-375.74,1.0,0.0,1.4,113.69,0.078,12135.0
58.19,-7.1,-376.41,1.0,0.0,1.51,114.09,0.079,12204.0
55.64,-6.94,-377.21,1.0,0.0,2.14,114.56,0.08,12288.0
53.65,-6.8,-377.86,1.0,0.0,2.2,114.92,0.081,12354.0
51.63,-6.68,-378.49,1.0,0.0,2.33,115.26,0.082,12420.0
49.07,-6.49,-379.3,1.0,0.0,2.68,115.73,0.083,12504.0
47.03,-6.37,-379.93,1.0,0.0,-1.44,116.06,0.084,12570.0
45.01,-6.22,-380.57,1.0,0.0,-1.43,116.42,0.085,12636.0
42.41,-6.04,-381.38,1.0,0.0,3.82,116.87,0.086,12720.0
40.28,-5.88,-382.05,1.0,0.0,4.12,117.27,0.087,12789.0
38.23,-5.76,-382.69,1.0,0.0,4.46,117.57,0.088,12855.0
36.17,-5.6,-383.33,1.0,0.0,0.49,117.92,0.089,12921.0
33.57,-5.42,-384.14,1.0,0.0,0.93,118.35,0.09,13005.0
31.48,-5.28,-384.79,1.0,0.0,1.43,118.68,0.091,13071.0
29.31,-5.12,-385.47,1.0,0.0,2.06,119.09,0.092,13140.0
27.22,-4.96,-386.11,1.0,0.0,2.54,119.46,0.093,13206.0
25.13,-4.8,-386.75,1.0,0.0,3.3,119.8,0.094,13272.0
22.46,-4.59,-387.57,1.0,0.0,4.11,120.25,0.095,13356.0
20.35,-4.43,-388.21,1.0,0.0,0.21,120.58,0.096,13422.0
18.23,-4.26,-388.85,1.0,0.0,0.77,120.9,0.097,13488.0
16.01,-4.09,-389.51,1.0,0.0,1.46,121.29,0.098,13557.0
13.88,-3.93,-390.15,1.0,0.0,2.09,121.61,0.099,13623.0
11.75,-3.76,-390.78,1.0,0.0,3.35,121.96,0.1,13689.0
9.6,-3.6,-391.41,1.0,0.0,-0.14,122.29,0.101,13755.0
6.87,-3.38,-392.21,1.0,0.0,1.65,122.75,0.102,13839.0
5.2,-3.25,-392.7,1.0,0.0,2.44,122.99,0.103,13890.0
2.54,-3.03,-393.46,0.46,0.0,5.2,123.29,0.104,13971.0
0.27,-2.85,-394.1,0.0,0.54,8.43,122.87,0.105,14040.0
-1.88,-2.68,-394.71,0.0,0.78,6.58,120.92,0.106,14106.0
-3.99,-2.51,-395.29,0.0,0.73,9.89,118.46,0.107,14172.0
-6.14,-2.33,-395.88,0.0,0.64,9.06,115.51,0.108,14241.0
-8.17,-2.16,-396.42,0.0,0.97,14.57,112.82,0.109,14307.0
-10.68,-1.95,-397.06,0.0,0.65,10.68,109.23,0.11,14391.0
-13.12,-1.73,-397.66,0.0,0.71,13.2,105.94,0.111,14475.0
-14.99,-1.57,-398.09,0.0,0.61,9.59,103.68,0.112,14541.0
-17.34,-1.38,-398.59,0.0,0.35,6.77,101.19,0.113,14625.0
-19.55,-1.19,-399.04,0.0,0.41,6.55,99.11,0.114,14706.0
-21.81,-1.01,-399.45,0.0,0.28,4.39,97.42,0.115,14790.0
-24.51,-0.79,-399.89,0.0,0.28,11.01,95.52,0.116,14892.0
-26.62,-0.62,-400.19,0.0,0.2,9.05,94.27,0.117,14973.0
-28.79,-0.44,-400.47,0.0,0.13,12.95,92.98,0.118,15057.0
-31.4,-0.24,-400.75,0.0,0.15,21.08,91.77,0.119,15159.0
-33.52,-0.07,-400.94,0.0,0.08,21.47,90.79,0.12,15243.0
-36.01,0.12,-401.1,0.02,0.0,22.98,89.77,0.121,15342.0
-38.1,0.28,-401.2,0.0,0.06,28.68,89.03,0.122,15426.0
-40.55,0.47,-401.25,0.01,0.0,26.97,88.23,0.123,15525.0
-43.06,0.66,-401.23,0.0,0.0,30.5,87.52,0.124,15627.0
-45.11,0.81,-401.15,0.03,0.0,33.76,86.97,0.125,15711.0
-47.5,0.98,-401.0,0.09,0.0,33.95,86.39,0.126,15810.0
-49.95,1.16,-400.77,0.08,0.0,35.2,85.89,0.127,15912.0
-51.88,1.29,-400.53,0.1,0.0,40.28,85.51,0.128,15993.0
-54.29,1.45,-400.15,0.15,0.0,37.35,85.07,0.129,16095.0
-56.6,1.61,-399.7,0.16,0.0,40.57,84.65,0.13,16194.0
-58.88,1.77,-399.16,0.24,0.0,42.96,84.21,0.131,16293.0
-61.2,1.95,-398.5,0.32,0.0,41.56,83.71,0.132,16395.0
-63.08,2.1,-397.85,0.37,0.0,43.15,83.58,0.133,16479.0
-65.25,2.32,-397.1,0.46,0.0,35.49,83.11,0.134,16578.0
-67.46,2.53,-396.21,0.47,0.0,37.99,82.92,0.135,16680.0
-69.53,2.76,-395.24,0.52,0.0,39.39,82.71,0.136,16779.0
-71.65,2.97,-394.21,0.77,0.0,40.13,82.63,0.137,16881.0
-73.67,3.19,-393.12,1.0,0.0,41.17,82.9,0.138,16980.0
-75.36,3.38,-392.15,1.0,0.0,40.93,83.03,0.139,17064.0
-77.39,3.59,-390.92,1.0,0.0,41.27,83.45,0.14,17166.0
-79.33,3.79,-389.68,1.0,0.0,50.26,83.77,0.141,17265.0
-81.24,3.97,-388.36,1.0,0.0,50.25,84.04,0.142,17364.0
-82.83,4.11,-387.19,1.0,0.0,48.48,84.3,0.143,17448.0
