X,Y,Z,throttle,brake,steer,speed,position,lap_time
248.91,-12.14,-318.2,0.0,1.0,0.0,0.01,0.992,852.0
248.74,-12.14,-318.25,1.0,0.0,-10.99,5.21,0.993,2436.0
246.54,-12.14,-318.93,1.0,0.0,2.99,19.31,0.994,3120.0
244.33,-12.14,-319.63,1.0,0.0,3.88,26.98,0.995,3480.0
242.11,-12.13,-320.33,1.0,0.0,4.81,31.38,0.996,3765.0
239.88,-12.12,-321.02,1.0,0.0,1.54,35.26,0.997,4017.0
237.67,-12.1,-321.71,1.0,0.0,2.16,38.96,0.998,4242.0
235.46,-12.1,-322.39,1.0,0.0,2.62,42.41,0.999,4446.0
233.24,-12.09,-323.06,1.0,0.0,3.26,45.63,1.0,4635.0
232.09,-12.09,-323.4,1.0,0.0,3.52,47.22,0.0,4728.0
230.98,-12.09,-323.74,1.0,0.0,-0.51,48.71,0.001,4815.0
228.82,-12.09,-324.39,1.0,0.0,-0.26,51.45,0.002,4977.0
226.64,-12.09,-325.05,1.0,0.0,0.15,54.01,0.003,5133.0
224.37,-12.08,-325.74,0.0,0.0,0.54,54.76,0.004,5289.0
222.1,-12.06,-326.42,0.0,0.0,0.97,54.63,0.005,5445.0
219.91,-12.05,-327.08,1.0,0.0,1.26,56.72,0.006,5592.0
217.75,-12.04,-327.72,1.0,0.0,1.36,58.22,0.007,5733.0
215.53,-12.03,-328.38,1.0,0.0,1.43,59.75,0.008,5874.0
213.31,-12.02,-329.03,1.0,0.0,1.59,61.26,0.009,6012.0
210.98,-12.01,-329.72,1.0,0.0,1.47,62.83,0.01,6153.0
208.84,-11.99,-330.34,1.0,0.0,-2.55,64.27,0.011,6279.0
206.55,-11.98,-331.02,1.0,0.0,1.34,65.8,0.012,6411.0
204.42,-11.96,-331.64,1.0,0.0,1.34,67.15,0.013,6531.0
202.14,-11.95,-332.3,1.0,0.0,-2.86,68.6,0.014,6657.0
199.93,-11.93,-332.95,1.0,0.0,1.1,69.95,0.015,6777.0
196.35,-11.89,-334.0,1.0,0.0,-3.04,72.09,0.016,6966.0
195.48,-11.88,-334.25,1.0,0.0,-3.13,72.6,0.017,7011.0
193.13,-11.86,-334.94,1.0,0.0,0.73,73.95,0.018,7131.0
191.05,-11.84,-335.55,1.0,0.0,0.66,75.13,0.019,7236.0
188.8,-11.81,-336.21,1.0,0.0,0.43,76.38,0.02,7347.0
186.46,-11.78,-336.9,1.0,0.0,-3.77,77.64,0.021,7461.0
184.4,-11.75,-337.5,1.0,0.0,0.11,78.76,0.022,7560.0
182.18,-11.72,-338.15,1.0,0.0,-0.08,79.91,0.023,7665.0
179.93,-11.68,-338.81,1.0,0.0,-0.3,81.09,0.024,7770.0
177.64,-11.64,-339.49,1.0,0.0,-0.54,82.24,0.025,7875.0
175.46,-11.6,-340.13,1.0,0.0,-0.71,83.32,0.026,7974.0
173.25,-11.57,-340.79,1.0,0.0,-0.76,84.41,0.027,8073.0
171.07,-11.53,-341.43,1.0,0.0,-0.95,85.44,0.028,8169.0
168.81,-11.49,-342.1,1.0,0.0,-1.16,86.51,0.029,8268.0
166.52,-11.45,-342.79,1.0,0.0,-1.13,87.54,0.03,8367.0
