X,Y,Z,throttle,brake,steer,speed,position,lap_time
248.91,-12.14,-318.2,0.0,1.0,0.0,0.01,0.992,738.0
248.73,-12.14,-318.25,1.0,0.0,7.83,5.28,0.993,3126.0
246.48,-12.14,-318.86,1.0,0.0,10.08,19.41,0.994,3810.0
244.22,-12.14,-319.49,1.0,0.0,9.54,27.06,0.995,4170.0
242.0,-12.14,-320.08,1.0,0.0,9.27,31.42,0.996,4452.0
239.76,-12.13,-320.66,1.0,0.0,7.56,35.26,0.997,4701.0
237.5,-12.12,-321.23,1.0,0.0,5.22,38.97,0.998,4926.0
235.23,-12.11,-321.8,1.0,0.0,0.99,42.48,0.999,5133.0
232.98,-12.11,-322.37,1.0,0.0,-2.84,45.71,1.0,5322.0
231.93,-12.11,-322.63,1.0,0.0,-3.69,47.15,0.0,5406.0
230.81,-12.12,-322.92,1.0,0.0,-4.64,48.64,0.001,5493.0
228.52,-12.12,-323.53,1.0,0.0,-4.18,51.52,0.002,5664.0
226.35,-12.11,-324.11,1.0,0.0,-2.47,54.04,0.003,5817.0
224.11,-12.1,-324.71,0.0,0.0,-1.71,54.75,0.004,5970.0
221.87,-12.09,-325.32,0.0,0.0,-1.71,54.62,0.005,6123.0
219.58,-12.08,-325.95,1.0,0.0,-1.8,56.69,0.006,6276.0
217.37,-12.07,-326.57,1.0,0.0,-1.66,58.23,0.007,6420.0
215.09,-12.06,-327.2,1.0,0.0,-1.21,59.78,0.008,6564.0
212.91,-12.05,-327.81,1.0,0.0,-1.49,61.26,0.009,6699.0
210.67,-12.04,-328.44,1.0,0.0,-1.62,62.77,0.01,6834.0
208.48,-12.03,-329.06,1.0,0.0,-2.34,64.25,0.011,6963.0
206.19,-12.01,-329.72,1.0,0.0,-1.8,65.77,0.012,7095.0
203.96,-12.0,-330.37,1.0,0.0,-3.24,67.2,0.013,7221.0
201.79,-11.98,-331.0,1.0,0.0,-2.84,68.56,0.014,7341.0
199.52,-11.96,-331.67,1.0,0.0,-2.74,69.96,0.015,7464.0
195.95,-11.93,-332.75,1.0,0.0,-2.74,72.09,0.016,7653.0
195.09,-11.92,-333.01,1.0,0.0,-2.84,72.6,0.017,7698.0
192.75,-11.89,-333.72,1.0,0.0,-3.24,73.95,0.018,7818.0
190.68,-11.87,-334.37,1.0,0.0,-3.38,75.12,0.019,7923.0
188.51,-11.84,-335.05,1.0,0.0,-4.81,76.33,0.02,8031.0
186.32,-11.81,-335.75,1.0,0.0,-5.13,77.53,0.021,8139.0
184.09,-11.78,-336.47,1.0,0.0,-5.58,78.73,0.022,8247.0
181.84,-11.74,-337.21,1.0,0.0,-5.22,79.91,0.023,8355.0
179.62,-11.7,-337.96,1.0,0.0,-4.86,81.07,0.024,8460.0
177.5,-11.66,-338.69,1.0,0.0,-4.64,82.15,0.025,8559.0
175.35,-11.62,-339.44,1.0,0.0,-1.3,83.23,0.026,8658.0
173.11,-11.58,-340.22,1.0,0.0,13.99,84.33,0.027,8760.0
170.96,-11.54,-340.95,1.0,0.0,8.51,85.36,0.028,8856.0
168.72,-11.5,-341.71,1.0,0.0,-0.13,86.41,0.029,8955.0
166.45,-11.46,-342.47,1.0,0.0,1.49,87.46,0.03,9054.0
164.36,-11.42,-343.16,1.0,0.0,2.43,88.39,0.031,9144.0
162.04,-11.37,-343.93,1.0,0.0,2.38,89.4,0.032,9243.0
159.9,-11.33,-344.62,1.0,0.0,4.5,90.32,0.033,9333.0
157.74,-11.28,-345.32,1.0,0.0,6.66,91.19,0.034,9423.0
155.47,-11.22,-346.03,1.0,0.0,4.5,92.07,0.035,9516.0
153.27,-11.17,-346.71,0.0,0.0,2.38,92.34,0.036,9606.0
151.06,-11.11,-347.39,0.0,0.0,1.62,92.17,0.037,9696.0
148.85,-11.06,-348.05,0.0,0.0,0.63,91.99,0.038,9786.0
146.65,-11.0,-348.72,1.0,0.0,-0.41,92.36,0.039,9876.0
144.43,-10.94,-349.38,1.0,0.0,-1.26,93.0,0.04,9966.0
142.19,-10.87,-350.05,1.0,0.0,-1.71,93.65,0.041,10056.0
139.94,-10.81,-350.72,1.0,0.0,-1.53,94.29,0.042,10146.0
137.75,-10.74,-351.38,1.0,0.0,-1.12,94.91,0.043,10233.0
135.48,-10.67,-352.07,1.0,0.0,-1.21,95.55,0.044,10323.0
133.34,-10.6,-352.72,1.0,0.0,-1.21,96.14,0.045,10407.0
131.11,-10.53,-353.39,1.0,0.0,-1.12,96.75,0.046,10494.0
128.79,-10.45,-354.1,1.0,0.0,-0.36,97.39,0.047,10584.0
126.69,-10.38,-354.75,1.0,0.0,1.62,97.95,0.048,10665.0
124.34,-10.31,-355.47,1.0,0.0,2.02,98.58,0.049,10755.0
122.21,-10.24,-356.12,1.0,0.0,0.68,99.14,0.05,10836.0
119.99,-10.17,-356.79,1.0,0.0,-2.25,99.73,0.051,10920.0
117.84,-10.09,-357.45,1.0,0.0,-2.61,100.28,0.052,11001.0
115.52,-10.01,-358.16,1.0,0.0,-2.43,100.89,0.053,11088.0
113.35,-9.93,-358.83,1.0,0.0,-2.65,101.44,0.054,11169.0
111.17,-9.84,-359.51,1.0,0.0,-2.61,101.98,0.055,11250.0
108.97,-9.76,-360.2,1.0,0.0,-2.34,102.52,0.056,11331.0
106.77,-9.67,-360.89,1.0,0.0,-1.03,103.04,0.057,11412.0
104.56,-9.57,-361.59,1.0,0.0,1.85,103.59,0.058,11493.0
102.33,-9.48,-362.3,1.0,0.0,1.75,104.14,0.059,11574.0
100.09,-9.38,-363.01,1.0,0.0,-0.36,104.67,0.06,11655.0
97.84,-9.28,-363.72,1.0,0.0,-0.41,105.2,0.061,11736.0
95.75,-9.19,-364.39,1.0,0.0,-0.5,105.69,0.062,11811.0
93.48,-9.08,-365.12,1.0,0.0,-2.65,106.19,0.063,11892.0
91.29,-8.97,-365.82,1.0,0.0,-6.39,106.72,0.064,11970.0
89.0,-8.86,-366.56,1.0,0.0,-6.97,107.22,0.065,12051.0
86.88,-8.76,-367.25,1.0,0.0,-3.69,107.67,0.066,12126.0
84.67,-8.64,-367.99,1.0,0.0,0.0,108.1,0.067,12204.0
82.53,-8.53,-368.7,1.0,0.0,-0.72,108.66,0.068,12279.0
80.3,-8.41,-369.46,1.0,0.0,-0.13,109.13,0.069,12357.0
78.15,-8.29,-370.19,1.0,0.0,2.97,109.58,0.07,12432.0
75.9,-8.16,-370.96,1.0,0.0,7.79,110.04,0.071,12510.0
73.71,-8.04,-371.69,1.0,0.0,6.48,110.47,0.072,12585.0
71.44,-7.9,-372.45,1.0,0.0,4.36,110.96,0.073,12663.0
69.32,-7.78,-373.14,1.0,0.0,3.46,111.35,0.074,12735.0
67.12,-7.64,-373.87,1.0,0.0,3.64,111.81,0.075,12810.0
64.81,-7.51,-374.61,1.0,0.0,3.15,112.21,0.076,12888.0
62.67,-7.37,-375.3,1.0,0.0,2.97,112.66,0.077,12960.0
60.52,-7.25,-375.98,1.0,0.0,2.88,113.01,0.078,13032.0
58.27,-7.09,-376.68,1.0,0.0,1.66,113.45,0.079,13107.0
56.1,-6.97,-377.36,1.0,0.0,0.36,113.8,0.08,13179.0
53.92,-6.81,-378.03,1.0,0.0,-0.36,114.19,0.081,13251.0
51.56,-6.66,-378.76,1.0,0.0,-0.18,114.59,0.082,13329.0
49.37,-6.51,-379.44,1.0,0.0,0.45,115.02,0.083,13401.0
47.17,-6.37,-380.11,1.0,0.0,1.57,115.36,0.084,13473.0
44.97,-6.21,-380.79,1.0,0.0,2.2,115.75,0.085,13545.0
42.75,-6.07,-381.47,1.0,0.0,0.99,116.13,0.086,13617.0
40.54,-5.92,-382.15,1.0,0.0,-1.62,116.52,0.087,13689.0
38.32,-5.76,-382.83,1.0,0.0,-0.22,116.93,0.088,13761.0
36.08,-5.6,-383.52,1.0,0.0,0.85,117.33,0.089,13833.0
34.03,-5.45,-384.15,1.0,0.0,3.15,117.69,0.09,13899.0
31.78,-5.29,-384.85,1.0,0.0,2.2,118.07,0.091,13971.0
29.61,-5.14,-385.51,1.0,0.0,4.01,118.45,0.092,14040.0
27.35,-4.97,-386.2,1.0,0.0,5.13,118.85,0.093,14112.0
25.07,-4.79,-386.88,1.0,0.0,2.92,119.21,0.094,14184.0
22.98,-4.63,-387.51,1.0,0.0,-0.68,119.58,0.095,14250.0
20.69,-4.45,-388.19,1.0,0.0,-1.8,119.94,0.096,14322.0
18.48,-4.28,-388.84,1.0,0.0,-1.12,120.29,0.097,14391.0
16.18,-4.1,-389.53,1.0,0.0,-0.94,120.68,0.098,14463.0
14.06,-3.94,-390.15,1.0,0.0,0.0,121.0,0.099,14529.0
11.84,-3.77,-390.81,1.0,0.0,2.43,121.37,0.1,14598.0
9.51,-3.59,-391.49,1.0,0.0,4.86,121.74,0.101,14670.0
7.37,-3.42,-392.11,1.0,0.0,6.3,122.08,0.102,14736.0
5.12,-3.24,-392.76,1.0,0.0,7.11,122.41,0.103,14805.0
2.96,-3.06,-393.37,0.61,0.0,6.43,122.71,0.104,14871.0
0.7,-2.88,-394.0,0.09,0.01,5.67,122.65,0.105,14940.0
-1.46,-2.71,-394.59,0.0,0.47,5.49,121.93,0.106,15006.0
-3.79,-2.53,-395.23,0.0,1.0,9.09,119.47,0.107,15078.0
-6.07,-2.34,-395.83,0.0,1.0,12.1,116.4,0.108,15150.0
-8.28,-2.16,-396.4,0.0,1.0,12.15,112.98,0.109,15222.0
-10.42,-1.96,-396.93,0.0,1.0,8.32,109.59,0.11,15294.0
-12.8,-1.77,-397.52,0.8,0.92,-3.33,106.03,0.111,15375.0
-15.08,-1.56,-398.07,0.67,0.22,-7.92,103.67,0.112,15456.0
-17.36,-1.38,-398.57,0.0,0.16,-1.08,102.59,0.113,15537.0
-19.59,-1.19,-399.06,0.0,0.2,9.67,101.65,0.114,15618.0
-21.82,-1.01,-399.51,0.0,0.3,20.83,100.14,0.115,15699.0
-24.09,-0.82,-399.93,0.0,0.29,25.11,97.92,0.116,15783.0
-26.41,-0.63,-400.31,0.0,0.32,31.18,95.43,0.117,15870.0
-28.75,-0.44,-400.64,0.0,0.53,29.93,92.5,0.118,15960.0
-31.09,-0.25,-400.91,0.0,0.51,8.23,89.3,0.119,16053.0
-33.45,-0.07,-401.12,0.0,0.14,-1.12,87.1,0.12,16149.0
-35.83,0.12,-401.28,0.0,0.1,-0.76,85.45,0.121,16248.0
-38.16,0.29,-401.37,0.0,0.07,-2.65,83.99,0.122,16347.0
-40.46,0.47,-401.41,0.0,0.02,-1.21,82.79,0.123,16446.0
-42.72,0.64,-401.4,0.0,0.0,22.86,81.76,0.124,16545.0
-45.03,0.81,-401.33,0.0,0.0,36.18,80.74,0.125,16647.0
-47.38,0.98,-401.19,0.0,0.0,35.69,79.74,0.126,16752.0
-49.64,1.14,-400.99,0.0,0.0,41.13,78.76,0.127,16854.0
-51.92,1.3,-400.7,0.0,0.04,53.82,77.7,0.128,16959.0
-54.23,1.46,-400.31,0.0,0.01,59.94,76.39,0.129,17067.0
-56.49,1.6,-399.82,0.0,0.0,55.71,75.23,0.13,17175.0
-58.68,1.76,-399.22,0.0,0.0,33.08,74.11,0.131,17283.0
-60.87,1.92,-398.52,0.0,0.0,12.1,72.95,0.132,17394.0
-63.05,2.11,-397.7,0.0,0.0,14.94,71.89,0.133,17508.0
-65.22,2.31,-396.88,0.65,0.0,24.03,71.25,0.134,17625.0
-67.26,2.51,-396.01,0.69,0.0,39.83,71.46,0.135,17736.0
-69.33,2.73,-395.02,0.67,0.0,48.19,71.9,0.136,17850.0
-71.34,2.95,-393.99,0.67,0.0,49.72,72.17,0.137,17961.0
-73.31,3.16,-392.81,0.67,0.0,56.97,72.46,0.138,18075.0
-75.18,3.37,-391.65,0.74,0.0,58.14,72.77,0.139,18183.0
-77.01,3.57,-390.42,1.0,0.0,50.85,72.95,0.14,18291.0
-78.86,3.76,-389.1,1.0,0.0,33.26,73.7,0.141,18402.0
-80.58,3.92,-387.76,1.0,0.0,1.93,74.48,0.142,18507.0
-82.33,4.08,-386.33,1.0,0.0,4.81,75.46,0.143,18615.0
-83.92,4.23,-384.96,1.0,0.0,16.69,76.32,0.144,18714.0
-85.63,4.38,-383.4,1.0,0.0,13.27,77.28,0.145,18822.0
-87.18,4.51,-381.91,1.0,0.0,10.26,78.23,0.146,18921.0
-88.72,4.64,-380.39,1.0,0.0,10.71,79.13,0.147,19020.0
-90.16,4.75,-378.91,1.0,0.0,10.62,80.04,0.148,19113.0
-91.69,4.86,-377.3,1.0,0.0,10.71,80.98,0.149,19212.0
-93.21,4.97,-375.66,1.0,0.0,11.39,81.95,0.15,19311.0
-94.69,5.07,-374.02,1.0,0.0,12.64,82.9,0.151,19407.0
-96.21,5.17,-372.29,1.0,0.0,13.14,83.86,0.152,19506.0
-97.73,5.27,-370.53,1.0,0.0,11.65,84.83,0.153,19605.0
-99.23,5.36,-368.72,1.0,0.0,7.06,85.8,0.154,19704.0
-100.74,5.44,-366.87,1.0,0.0,5.53,86.78,0.155,19803.0
-102.16,5.53,-365.12,1.0,0.0,5.53,87.68,0.156,19896.0
-103.62,5.62,-363.27,1.0,0.0,5.58,88.6,0.157,19992.0
-105.03,5.71,-361.45,1.0,0.0,5.4,89.49,0.158,20085.0
-106.49,5.78,-359.54,1.0,0.0,5.13,90.36,0.159,20181.0
